Price,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
Ticker,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE
Date
2023-08-17,170.09181213378906,35.490234375,0.0,0.0,171.44074345199465,35.69437166488243,168.86995837895267,34.59593275512886,168.96771264542238,34.60565181267153,0.0,0.0,70904200,31113600
2023-08-18,168.60604858398438,35.636043548583984,0.0,0.0,170.07227308871953,35.82073529336724,167.45261088435177,35.30553999444928,169.27072986683163,35.431909982010644,0.0,0.0,49617200,24141400
2023-08-21,163.58177185058594,35.97626876831055,0.0,0.0,166.02547913897112,36.15124146896085,162.22307119485203,35.61660430948431,165.8690782928651,35.68464883660958,0.0,0.0,151319500,28496500
2023-08-22,162.28172302246094,35.81101989746094,0.0,0.0,164.06073422993222,36.112362603790565,161.68545782823685,34.72230372295672,163.1028051182169,35.9762698373474,0.0,0.0,56835400,18536900
2023-08-23,160.8252716064453,35.636043548583984,0.0,0.0,162.7509142475153,36.09291709028005,159.78914204631758,35.538838147781924,162.16441850036063,36.05403344669988,0.0,0.0,119011400,19370900
2023-08-24,161.37265014648438,35.15000915527344,0.0,0.0,162.91707493520232,35.616601754148725,160.17035034259084,35.05280375439672,160.3365206475838,35.46107088785696,0.0,0.0,70755100,19380800
2023-08-25,163.6864013671875,35.36386489868164,1.19,0.0,165.19280734781483,35.665203861275536,161.53016907474154,34.95559406386487,161.76647364908368,35.13056674905087,0.0,0.0,18185500,16421300
2023-08-28,161.75662231445312,35.198612213134766,0.0,0.0,163.64702890986763,35.49995489194993,160.65389765337528,35.02363952326124,162.45568064149145,35.42218760394019,0.0,0.0,18458000,15101900
2023-08-29,161.77633666992188,35.14029312133789,0.0,0.0,163.1252064563464,35.908224753880226,160.26009008706865,34.99448129933121,162.32769906368668,35.247217588240964,0.0,0.0,12208600,21076500
2023-08-30,161.2052764892578,34.89727783203125,0.0,0.0,163.27290046397357,35.23750049144775,161.15604448538397,34.81951053379383,162.56400167398522,35.169455959564445,0.0,0.0,9939100,16833000
2023-08-31,159.18687438964844,34.39179992675781,0.0,0.0,161.04774486258782,34.98476256986292,158.79304843071256,34.39179992675781,160.85081685962257,34.93615615663893,0.0,0.0,15333000,27919500
2023-09-01,158.00538635253906,34.78062438964844,0.0,0.0,159.9745462548212,35.05280620580525,157.54263257362294,34.60565168931499,158.9308939103713,34.644535335644335,0.0,0.0,8609500,17519900
2023-09-05,158.20230102539062,34.39179992675781,0.0,0.0,159.47241758906793,35.276382508463335,157.80847505013293,34.36263533719368,158.0841562375129,34.95559798029878,0.0,0.0,9019800,25856100
2023-09-06,155.57347106933594,33.41000747680664,0.0,0.0,157.53279056038994,34.294590038656146,154.9236597261325,33.30307930315198,157.3752541641901,34.2751482154327,0.0,0.0,9753800,35370200
2023-09-07,157.56231689453125,33.3225212097168,0.0,0.0,158.57643296840794,33.67246661231687,156.52850501648797,33.08922674674917,156.6860414028272,33.50721667672718,0.0,0.0,9931800,26777700
2023-09-08,158.0841522216797,33.293357849121094,0.0,0.0,158.20229700655617,33.429446893740774,156.73528251601473,33.098943339029404,157.12910848126802,33.27391602729709,0.0,0.0,6957000,19467700
2023-09-11,160.15176391601562,32.99201583862305,0.0,0.0,160.18130010998806,33.34196122221791,157.9758358112352,32.603190518744206,158.57643012783552,33.28363946371772,0.0,0.0,6309300,27574400
2023-09-12,161.05758666992188,33.1961555480957,0.0,0.0,161.4021806311473,33.2544773108656,159.03919480975375,32.80732649160242,159.7185573648662,33.021182843488596,0.0,0.0,6045800,17987200
2023-09-13,161.46127319335938,33.128108978271484,0.0,0.0,162.40646154264644,33.65302335160196,160.48653362362776,33.050341688504915,161.23480898543818,33.25447526191946,0.0,0.0,7397500,23853300
2023-09-14,161.21511840820312,33.1961555480957,0.0,0.0,162.72152445494683,33.419730957727296,160.91974143318538,33.03090190123401,162.14061089546306,33.28364190039926,0.0,0.0,7758400,23759900
2023-09-15,158.96043395996094,33.11838912963867,0.0,0.0,162.2784786917087,33.45861178195889,158.7241443809984,32.86565283193634,161.45142009484536,33.108670071636155,0.0,0.0,13388900,57959000
2023-09-18,159.96470642089844,32.70039749145508,0.0,0.0,160.63421357872718,33.16699012259747,158.27122769715788,32.5059829681086,159.62009742739974,33.16699012259747,0.0,0.0,5789000,25421900
2023-09-19,159.69886779785156,33.040626525878906,0.0,0.0,160.33885379112215,33.06006464246326,158.89152003634618,32.583752915019474,159.748099800949,32.61291379804492,0.0,0.0,5550800,30323300
2023-09-20,160.39791870117188,32.68095779418945,0.0,0.0,161.0181938360634,33.13783139755085,159.1671937986526,32.61291326281421,159.68901995544098,33.12811233941817,0.0,0.0,3837400,24651400
2023-09-21,159.1671905517578,31.93246078491211,0.0,0.0,160.97881396567104,32.651793377789566,159.09826274734408,31.913022670750525,160.06316186815405,32.535146152077814,0.0,0.0,4526700,26980600
2023-09-22,158.02508544921875,31.776931762695312,0.0,0.0,158.91120141430113,32.165760815213005,157.7789404563072,31.592240002231172,158.81275243123537,32.15604175756696,0.0,0.0,4976700,28570800
2023-09-25,157.78878784179688,32.058834075927734,0.0,0.0,157.8872518527253,32.058834075927734,156.2823816202842,31.504755061575512,157.60173025863088,31.776933185636583,0.0,0.0,6722500,19443700
